"","sssdistrict","ssslong","ssslat"
"2801","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2802","Accra Metro",NA,NA
"2803","Tamale Metro",NA,NA
"2804","Abura/Asebu/ Kwaman",NA,NA
"2805","Kumasi Metro",NA,NA
"2806","Afigya Sekyere",NA,NA
"2807","Akwapim North",NA,NA
"2808","",NA,NA
"2809","Kasena-Nankani",NA,NA
"2810","Atebubu",-1.0652015209198,7.67559051513672
"2811","Kwahu South",NA,NA
"2812","Sefwi Wiawso",NA,NA
"2813","Asutifi",NA,NA
"2814","Asante Akim North",NA,NA
"2815","Adansi North",NA,NA
"2816","Kumasi Metro",-1.59718716144562,6.68205976486206
"2817","Tema",-0.0500882156193256,5.69031476974487
"2818","Kassena Nanakana East",NA,NA
"2819","Shama Ahanta East",NA,NA
"2820","Sene",NA,NA
"2821","",NA,NA
"2822","Ejisu Juaben",NA,NA
"2823","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"2824","Wa Municipal",NA,NA
"2825","Sunyani Municipal",NA,NA
"2826","East Akim",NA,NA
"2827","Adaklu-Anyigbe",NA,NA
"2828","Afigya Sekyere",NA,NA
"2829","Amenfi West",NA,NA
"2830","East Akim",NA,NA
"2831","Birim South",NA,NA
"2832","Dormaa",NA,NA
"2833","Akwapim North",NA,NA
"2834","Dangme West",NA,NA
"2835","Kumasi Metro",-1.59718716144562,6.68205976486206
"2836","Tema",-0.0500882156193256,5.69031476974487
"2837","West Mamprusi",NA,NA
"2838","East Mamprusi",NA,NA
"2839","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2840","Mfantsiman",NA,NA
"2841","Wa Municipal",NA,NA
"2842","Kwaebibirem",NA,NA
"2843","Edina/Komm/ Eguafo",NA,NA
"2844","Ga East",NA,NA
"2845","",NA,NA
"2846","Ahanta West",NA,NA
"2847","Kwaebibirem",NA,NA
"2848","Wenchi Municipal",NA,NA
"2849","Kwabre",NA,NA
"2850","Cherponi Saboba",NA,NA
"2851","Shama Ahanta East",NA,NA
"2852","Keta",0.853055775165558,5.90746402740479
"2853","Offinso",NA,NA
"2854","Ho Municipal",NA,NA
"2855","Bolgatanga",-0.880232632160187,10.7424564361572
"2856","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2857","Talensi Nabdam",NA,NA
"2858","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"2859","Kumasi Metro",NA,NA
"2860","Ketu North",NA,NA
"2861","Bibiani/Anhwiaso/ Bekwai",NA,NA
"2862","Tema",-0.0500882156193256,5.69031476974487
"2863","Zabzugu Tatale",NA,NA
"2864","Kumasi Metro",-1.59718716144562,6.68205976486206
"2865","Atiwa",NA,NA
"2866","Shama Ahanta East",NA,NA
"2867","North Tongu",NA,NA
"2868","Krachi East",NA,NA
"2869","Birim South",NA,NA
"2870","Accra Metro",NA,NA
"2871","Akwapim South",NA,NA
"2872","Accra Metro",NA,NA
"2873","New Juaben",NA,NA
"2874","Sekyere Central",NA,NA
"2875","Akwapim South",NA,NA
"2876","Kwahu South",NA,NA
"2877","Kwahu South",NA,NA
"2878","Berekum",NA,NA
"2879","SISALA EAST",NA,NA
"2880","",NA,NA
"2881","Accra Metro",NA,NA
"2882","Keta",0.853055775165558,5.90746402740479
"2883","Shama Ahanta East",NA,NA
"2884","Asunafo South",NA,NA
"2885","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"2886","Afigya Sekyere",NA,NA
"2887","Birim South",NA,NA
"2888","",NA,NA
"2889","Ga East (Abokobi)",-0.241145879030228,5.72114276885986
"2890","Cape Coast",NA,NA
"2891","New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"2892","Ahanta West",NA,NA
"2893","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2894","Asante Akim North",NA,NA
"2895","Ahafo Ano North",NA,NA
"2896","",NA,NA
"2897","",NA,NA
"2898","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"2899","Akwapim North",NA,NA
"2900","Asutifi",NA,NA
"2901","South Tongu",NA,NA
"2902","New Juaben",NA,NA
"2903","Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"2904","Amasaman",NA,NA
"2905","Ketu",NA,NA
"2906","Akwapim South",NA,NA
"2907","",NA,NA
"2908","Hohoe",NA,NA
"2909","Asante Akim North",NA,NA
"2910","Sekyere East",NA,NA
"2911","Sunyani",-2.3274233341217,7.34467792510986
"2912","Twifo Heman",NA,NA
"2913","Sekyere East",NA,NA
"2914","Kwahu South",NA,NA
"2915","Nadowli",NA,NA
"2916","South Tongu",NA,NA
"2917","Nzema East",NA,NA
"2918","East Akim",NA,NA
"2919","Nzema East",NA,NA
"2920","Ga East (Abokobi)",-0.241145879030228,5.72114276885986
"2921","Akwapim North",NA,NA
"2922","Nadowli",NA,NA
"2923","Akwapim South",NA,NA
"2924","Birim North",NA,NA
"2925","Accra Metro",NA,NA
"2926","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"2927","Juaboso",NA,NA
"2928","ACCRA METRO",NA,NA
"2929","Kumasi Metro",-1.59718716144562,6.68205976486206
"2930","Bolgatanga",NA,NA
"2931","Suhum/Kraboa Coaltar",NA,NA
"2932","Kwahu South",NA,NA
"2933","Keta",0.853055775165558,5.90746402740479
"2934","Asante Akim South",NA,NA
"2935","Akwapim South",NA,NA
"2936","Kumasi Metro",-1.59718716144562,6.68205976486206
"2937","Bibiani/Anhwiaso/ Bekwai",NA,NA
"2938","South Tongu",NA,NA
"2939","Atiwa",NA,NA
"2940","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2941","Gomoa",NA,NA
"2942","Ejisu Juaben",NA,NA
"2943","Savelugu-Nanton",NA,NA
"2944","Obuasi Municipal",NA,NA
"2945","Sawla/Tuna/ Kariba",NA,NA
"2946","Asunafo North",NA,NA
"2947","Accra Metro",NA,NA
"2948","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2949","Tamale",-0.784348249435425,9.38335132598877
"2950","Accra Metro",NA,NA
"2951","KUMASI METRO",NA,NA
"2952","Twifo Hemang (Twifo Praso)",-1.55970335006714,5.57299947738647
"2953","Awutu/Efutu/Senya (Winneba)",-0.508638918399811,5.54489612579346
"2954","Mfantsiman",NA,NA
"2955","West Mamprusi",NA,NA
"2956","Savelugu-Nanton",NA,NA
"2957","East Akim",NA,NA
"2958","Agona Swedru",NA,NA
"2959","Kumasi Metro",-1.59718716144562,6.68205976486206
"2960","North Tongu (Adidome)",0.407175898551941,6.13318634033203
"2961","Adansi South",NA,NA
"2962","West Gonja",NA,NA
"2963","Wassa West",NA,NA
"2964","Accra Metro",NA,NA
"2965","Awutu/Efutu/ Senya",NA,NA
"2966","Bawku East",NA,NA
"2967","Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"2968","Jaman North",NA,NA
"2969","Sekyere Afram Plains",NA,NA
"2970","Bibiani/Anhwiaso/ Bekwai",NA,NA
"2971","Nzema East",NA,NA
"2972","Akwapim North",NA,NA
"2973","Dangme East",NA,NA
"2974","Mophor Wassa East",NA,NA
"2975","Tamale Metro",NA,NA
"2976","Ho Municipal",NA,NA
"2977","Ga West",NA,NA
"2978","Tema",NA,NA
"2979","West Gonja",NA,NA
"2980","Juaboso",NA,NA
"2981","Kumasi Metro",NA,NA
"2982","Dormaa",NA,NA
"2983","Atebubu",-1.0652015209198,7.67559051513672
"2984","Kasena-Nankani",NA,NA
"2985","Techiman Municipal",NA,NA
"2986","Kwabre",NA,NA
"2987","Yilo Krobo",NA,NA
"2988","Ketu",NA,NA
"2989","Birim South (Akim Oda)",-0.969164490699768,5.86416721343994
"2990","Nzema East",NA,NA
"2991","Tema",-0.0500882156193256,5.69031476974487
"2992","Lawra",NA,NA
"2993","Atiwa",NA,NA
"2994","Assin North",NA,NA
"2995","East Gonja",NA,NA
"2996","Abura/Asebu/ Kwaman",NA,NA
"2997","Accra Metro",NA,NA
"2998","Bawku East",NA,NA
"2999","Techiman Municipal",NA,NA
"3000","Nzema East",NA,NA
"3001","Wenchi Municipal",NA,NA
"3002","Kwahu North (Donkorkrom)",-0.264697343111038,6.91197347640991
"3003","Ketu",NA,NA
"3004","Saboba/Chereponi (Saboba)",0.166294068098068,9.91628551483154
"3005","Accra Metro",NA,NA
"3006","Kwabre",NA,NA
"3007","Akwapim South",NA,NA
"3008","Tamale Metro",NA,NA
"3009","Tema",-0.0500882156193256,5.69031476974487
"3010","Bibiani/Anhwiaso/ Bekwai",NA,NA
"3011","Assin South",NA,NA
"3012","Sekyere West",NA,NA
"3013","Ga West",NA,NA
"3014","Accra Metropolitan",-0.197115257382393,5.6073956489563
"3015","Cape Coast",NA,NA
"3016","Cape Coast",NA,NA
"3017","",NA,NA
"3018","Accra Metropolitan",-0.197115257382393,5.6073956489563
"3019","Kasena-Nankani",NA,NA
"3020","Wassa Amenfi (Asankragwa)",-2.3020179271698,5.72551774978638
"3021","Sunyani Municipal",NA,NA
"3022","Manya Krobo",NA,NA
"3023","Hohoe",NA,NA
"3024","Accra Metropolitan",-0.197115257382393,5.6073956489563
"3025","Krachi East",NA,NA
"3026","Kumasi Metro",-1.59718716144562,6.68205976486206
"3027","Bosomtwe",NA,NA
"3028","Awutu/Efutu/ Senya",NA,NA
"3029","Kwahu South",NA,NA
"3030","Edina/Komm/ Eguafo",NA,NA
"3031","Kwahu North",NA,NA
